objetivo,objetivo_descripcion,linea,indicador,indicador_codigo,metodo,fuente,descripcion,resolucion
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Transformar la institucionalidad de las ciudades,Control urbanístico,13,Ratio de notificaciones de demoliciones respecto del número de autorizaciones de construcción.,Gobiernos Autónomos Municipales - GAMS.,El indicador es un proxy del grado de cumplimiento de normativa de construcción ejercida por el municipio. Mientras menores sean las notificaciones para demoler respecto de los permisos de construcción es posible que se ejerza un mejor control y planificación.,Manchas Urbanas
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Transformar la institucionalidad de las ciudades,Forma del crecimiento de la mancha urbana,14,Índice de Forma Urbana calculado para el área de crecimiento de la mancha urbana entre los años 2012 y 2019,"Estimaciones propias ONU-HABITAT, en base a OpenStreetMap; datos de Imágenes SENTINEL 2A y, Google Earth.","El Índice de Forma Urbana permite medir, comparar y monitorear la estructura y organización de la red vial (densidad de intersecciones, longitud y superficie de calles) determinante para la configuración física de las ciudades y áreas urbanas del país.",Manchas Urbanas
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Incrementar las capacidades y la autonomía financieras de las ciudades,Autonomía financiera municipal,15,Porcentaje de ingresos propios respecto del ingreso total del municipio,"Atlas Fiscal, Volumen 22, UDAPE. 2019.","Una ciudad próspera busca generar sus propios ingresos y reducir la dependencia de las transferencias del gobierno. Una mayor autonomía fiscal garantiza una mayor eficiencia del gasto y se puede utilizar como indicador de desempeño fiscal local. Como Ingresos Propios se sumaron los valores devengados, a nivel municipal de:11000 Ingresos de Operación; 12000 Venta de bienes y servicios de las Administraciones Públicas; 13000 Ingresos por impuestos; 15000 Tasas, Derechos y Otros Ingresos; 16000 Intereses y otras Rentas de la Propiedad. Luego se divide el Ingreso Propio entre el Ingreso Total.",Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Incrementar las capacidades y la autonomía financieras de las ciudades,Presión fiscal municipal,16,Suma de: impuestos directos + impuestos indirectos + tasas y patentes en relación a la población,UDAPE,"El indicador de presión fiscal determina el esfuerzo impositivo realizado por habitante, estima el aporte realizado por cada ciudadano al financiamiento de las operaciones de la jurisdicción municipal.",Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Incrementar las capacidades y la autonomía financieras de las ciudades,Apalancamiento financiero,17,"Relación entre los ingresos obtenidos mediante negociación con terceros (crédito externo, donación externa y donación interna, crédito interno) respecto de los ingresos totales del municipio",UDAPE,"Sumatoria de ingresos obtenidos de terceros (crédito externo, donación externa y donación interna, crédito interno), dividido entre la totalidad de ingresos del gobierno municipal",Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Incrementar las capacidades y la autonomía financieras de las ciudades,Ingresos propios de los gobiernos municipales basados en suelo,18,Ingresos del gobierno municipal por concepto de cobros basados en la propiedad inmueble en relación al total de ingresos.,Gobiernos Autónomos Municipales - GAMS.,Monto de ingresos  propios basados en gestión de suelo de un gobierno municipal como proporción del total de ingresos disponibles para una gestión fiscal (año) ,Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Promover la convivencia y la apropiación positiva de la ciudad mediante la construcción de una cultura de paz y la participación y corresponsabilidad sociales,Confianza interpersonal,19,Percepción de confianza que manifiestan las personas con respecto a otras de su entorno,Latinobarómetro: https://www.latinobarometro.org/lat.jsp,"Es el resultado del porcentaje de personas que contestaron la opción 1 a la siguiente pregunta: Hablando en general, ¿Diría Ud. que se puede confiar en la mayoría de las personas o que uno nunca es lo suficientemente cuidadoso en el trato con los demás?; opciones de respuesta: (i) Se puede confiar en la mayoría de las personas y, (ii) Uno nunca es lo suficientemente cuidadoso en el trato con los demás",Total Bolivia
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Promover la convivencia y la apropiación positiva de la ciudad mediante la construcción de una cultura de paz y la participación y corresponsabilidad sociales,Variación anual de la tasa de disturbios,20,Comparación de la cantidad de disturbios públicos registrados en un año en comparación con la cantidad del año anterior,UDAPE,Registro de incidentes públicos que se expresan generalmente como protestas masivas de grupos que buscan cambios en políticas gubernamentales o soluciones a situaciones sociales adversas.,Departamental
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades","Contar con información y datos de calidad, formación especializada y procesos de investigación aplicados al desarrollo urbano",Proporción de especialidades o posgrados relacionados a temas planificación urbana,21,Porcentaje de cursos de posgrados relacionados a temas de planificación urbana respecto al total de la oferta de cursos de posgrado,Ministerio de Educación o paginas web de los municipios,"Las especialidades o posgrados a ser considerados son aquellos que estén directamente relacionados a la planificación urbana, desarrollo territorial o con algún de los objetivos de la política de ciudades.
Se identifican los diplomados, maestrías o doctorados que estén relacionados a temas de planificación urbana, ordenamiento territorial que considere temas urbanos, o que estén relacionados a alguno de los objetivos de la Política de Ciudades.",Departamental - Urbano
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades","Contar con información y datos de calidad, formación especializada y procesos de investigación aplicados al desarrollo urbano",Acceso a la computadora e internet en casa,22,Porcentaje de hogares que dispone de internet y computadora,Censo de Población y Vivienda del INE 2012. Encuesta de Hogares del INE 2019.,"Es la proporción entre el número total de hogares conectados a través de una computadora en una ciudad y la población total de la ciudad, expresada por cada 100 hogares.",Departamental - Urbano
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades","Contar con información y datos de calidad, formación especializada y procesos de investigación aplicados al desarrollo urbano",Proporción de personas de 18 años o más que utilizan internet para interactuar con instituciones públicas y privadas,23,El porcentaje de habitantes de 18 años y más edad que se conecta al internet para realizar consultas o establecer interacción con instituciones públicas y privadas por vía electrónica,Encuesta de Hogares del INE - 2019.,"Son las personas de 18 años y más edad que usó internet en los últimos 3 meses desde cualquier lugar para: A. Para obtener información sobre bienes y servicios; C. Para interactuar con organizaciones públicas y privadas en general; F. Para operaciones bancarias por Internet (transferencias, depósitos, pago de cuenta, banca móvil, etc.); respecto del total de personas de la misma edad.",Departamental - Urbano
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Promover el gobierno electrónico y abierto y la gestión inteligente de las ciudades,Acceso a la información pública,24,"Porcentaje de elementos disponibles en la página Web del municipio de 10 elementos esenciales (gasto e ingresos, organigrama, salarios, etc.",Páginas web de los GAMS,"Muestra el porcentaje de información disponible en las páginas web de los municipios de los siguientes 10 elementos: 1. Gastos e ingresos; 2. Salarios de ejecutivos; 3. Organigrama; 4. Copias de contratos y licitaciones; 5. Acceso a estadísticas; 6. Colocar noticias públicas, resoluciones; 7. Quejas, preocupaciones y emergencias; 8. Resultados de las elecciones locales; 9. Información impositiva y; 10. procedimientos de licitaciones abiertas",Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Promover el gobierno electrónico y abierto y la gestión inteligente de las ciudades,Proporción de gobiernos municipales que generan información estadística pública sobre su ciudad,25,"GAMS que tienen en su página Web: N° de habitantes en áreas urbanas, Calidad ambiental a nivel urbano, datos de género, transporte a nivel urbano y seguridad ciudadana",Páginas web de los GAMS,"Cada elemento en la página web del Municipio tendrá un valor de 25%, si cuenta con los 4 elementos (N° de Habitantes en áreas urbanas, Calidad ambiental a nivel urbano, datos de género, transporte a nivel urbano y seguridad ciudadana) tendrá un valor igual a 100%.",Municipal
Gobernanza de la ciudad,"Contar con instituciones fortalecidas a nivel local puede generar mayores oportunidades de realizar una mejor gestión, de aplicar mejor sus capacidades financieras y poder coordinar con el resto de los actores urbanos en un marco participativo y democrático, tomando decisiones en conjunto basados en evidencia, para lo cual es preciso generar los mecanismos para contar con información precisa y oportuna, fomentar la investigación y la innovación.
- La institucionalidad de las ciudades
- Capacidades y autonomía financiera de las ciudades
- Convivencia y cultura de paz, participación y corresponsabilidad sociales
- Información y datos de calidad, investigación para el desarrollo urbano
- Gobierno electrónico abierto, y la gestión de las ciudades",Promover el gobierno electrónico y abierto y la gestión inteligente de las ciudades,Avance hacia el catastro multifinalitario,26,"Número de gobiernos municipales (con ciudades con 40 mil habitantes o más) que cuentan con catastro físico, legal y económico",Páginas web de los GAMS,"Por cada tipo de catastro (físico, legal y económico) se valorará 33,3%, así el municipio que tenga los 3 tipos de catastro -un catastro multifinalitario- tendrá un valor de 100%.",Manchas Urbanas
